Entidad federativa,Deciles de hogares 1,Periodo,Porcentaje de personas con discapacidad con acceso a servicios de salud,Personas con discapacidad usuarias de algún servicio médico,Personas con discapacidad
Estados Unidos Mexicanos,Total,2010,71.93,4383035,6093779
Estados Unidos Mexicanos,I ,2010,48.73,480012,985133
Estados Unidos Mexicanos,II ,2010,63.45,532816,839744
Estados Unidos Mexicanos,III,2010,66.95,487317,727859
Estados Unidos Mexicanos,IV,2010,67.83,406950,599973
Estados Unidos Mexicanos,V,2010,82.01,448988,547493
Estados Unidos Mexicanos,VI,2010,83.36,491256,589284
Estados Unidos Mexicanos,VII,2010,78.09,379042,485363
Estados Unidos Mexicanos,VIII,2010,82.63,381974,462243
Estados Unidos Mexicanos,IX,2010,89.77,400452,446101
Estados Unidos Mexicanos,X,2010,91.14,374228,410586
Estados Unidos Mexicanos,Total,2012,58.63,4660946,7949173
Estados Unidos Mexicanos,I ,2012,34.43,467221,1357203
Estados Unidos Mexicanos,II ,2012,48.61,528032,1086288
Estados Unidos Mexicanos,III,2012,49.59,488166,984475
Estados Unidos Mexicanos,IV,2012,56.75,499098,879488
Estados Unidos Mexicanos,V,2012,64.62,434648,672601
Estados Unidos Mexicanos,VI,2012,70.19,491445,700136
Estados Unidos Mexicanos,VII,2012,69.29,427872,617522
Estados Unidos Mexicanos,VIII,2012,72.01,390904,542820
Estados Unidos Mexicanos,IX,2012,81.1,552029,680687
Estados Unidos Mexicanos,X,2012,89.15,381531,427953
Estados Unidos Mexicanos,Total,2014,59.12,4884900,8263281
Estados Unidos Mexicanos,I ,2014,38.36,504574,1315383
Estados Unidos Mexicanos,II ,2014,43.19,485558,1124171
Estados Unidos Mexicanos,III,2014,53.45,588846,1101583
Estados Unidos Mexicanos,IV,2014,57.96,476889,822853
Estados Unidos Mexicanos,V,2014,58.97,454538,770775
Estados Unidos Mexicanos,VI,2014,67.98,538931,792792
Estados Unidos Mexicanos,VII,2014,72.41,498373,688252
Estados Unidos Mexicanos,VIII,2014,76.67,499150,651017
Estados Unidos Mexicanos,IX,2014,80.21,403243,502735
Estados Unidos Mexicanos,X,2014,88.07,434798,493720
Estados Unidos Mexicanos,Total,2016,58.4,5242065,8975850
Estados Unidos Mexicanos,I ,2016,34.34,544055,1584265
Estados Unidos Mexicanos,II ,2016,44.21,521566,1179860
Estados Unidos Mexicanos,III,2016,54.06,550788,1018910
Estados Unidos Mexicanos,IV,2016,55.83,509833,913168
Estados Unidos Mexicanos,V,2016,64.77,540269,834083
Estados Unidos Mexicanos,VI,2016,66.9,529352,791231
Estados Unidos Mexicanos,VII,2016,74.3,564407,759605
Estados Unidos Mexicanos,VIII,2016,70.52,489116,693552
Estados Unidos Mexicanos,IX,2016,78.09,501615,642319
Estados Unidos Mexicanos,X,2016,87.87,491064,558857
Aguascalientes,Total,2010,83.37,39193,47013
Aguascalientes,I ,2010,100,2501,2501
Aguascalientes,II ,2010,74.74,7576,10137
Aguascalientes,III,2010,100,1478,1478
Aguascalientes,IV,2010,78.63,6088,7743
Aguascalientes,V,2010,100,1916,1916
Aguascalientes,VI,2010,69.66,6302,9047
Aguascalientes,VII,2010,91.59,5666,6186
Aguascalientes,VIII,2010,82.63,1613,1952
Aguascalientes,IX,2010,100,3432,3432
Aguascalientes,X,2010,100,2621,2621
Aguascalientes,Total,2012,78.57,32532,41407
Aguascalientes,I ,2012,45.88,1577,3437
Aguascalientes,II ,2012,96.69,14946,15457
Aguascalientes,III,2012,57.77,3224,5581
Aguascalientes,IV,2012,29.5,1207,4091
Aguascalientes,V,2012,77.51,1761,2272
Aguascalientes,VI,2012,100,2857,2857
Aguascalientes,VII,2012,100,1578,1578
Aguascalientes,VIII,2012,100,4240,4240
Aguascalientes,IX,2012,SD,0,752
Aguascalientes,X,2012,100,1142,1142
Aguascalientes,Total,2014,64.27,34348,53440
Aguascalientes,I ,2014,57.15,5348,9358
Aguascalientes,II ,2014,48.78,5115,10486
Aguascalientes,III,2014,28.4,1152,4057
Aguascalientes,IV,2014,83.52,2579,3088
Aguascalientes,V,2014,100,3065,3065
Aguascalientes,VI,2014,51.2,3615,7061
Aguascalientes,VII,2014,71.97,2899,4028
Aguascalientes,VIII,2014,74.56,3520,4721
Aguascalientes,IX,2014,85.14,2985,3506
Aguascalientes,X,2014,100,4070,4070
Aguascalientes,Total,2016,66.71,61062,91540
Aguascalientes,I ,2016,51.76,9828,18988
Aguascalientes,II ,2016,61.74,7360,11920
Aguascalientes,III,2016,68.15,6018,8831
Aguascalientes,IV,2016,68.86,6533,9488
Aguascalientes,V,2016,67.13,5881,8761
Aguascalientes,VI,2016,73.47,5726,7794
Aguascalientes,VII,2016,59.91,4313,7199
Aguascalientes,VIII,2016,81.17,6466,7966
Aguascalientes,IX,2016,88.03,4787,5438
Aguascalientes,X,2016,80.5,4150,5155
Baja California,Total,2010,77.05,125441,162804
Baja California,I ,2010,62.53,15607,24961
Baja California,II ,2010,37.01,7798,21069
Baja California,III,2010,73.23,6101,8331
Baja California,IV,2010,76.01,19897,26178
Baja California,V,2010,91.72,17968,19590
Baja California,VI,2010,100,8660,8660
